部分,考试类型,问题类型,问答对,筛选后三元组
高考学考,秋考,考试篇,问：查询普通高中学业水平等级性考试成绩需要报名号，但准考证遗失或找不到怎么办？答：如遗失或找不到本人的准考证，在校生请联系学籍所在学校，非在校生请联系区招考机构。,"['(在校生, 联系, 学籍所在学校)', '(非在校生, 需联系, 区考试招生机构)']"
高考学考,秋考,考试篇,问：对普通高中学业水平等级性考试成绩有疑问，怎么申请复核？答：可于指定时间内通过“上海招考热线”网站（www.shmeea.edu.cn）首页—成绩查询—“20XX年上海市普通高中学业水平等级性考试成绩复核”提交申请。,"['(普通高中学业水平等级性考试成绩复核, 申请途径, 上海市教育考试院报名网站)', '(上海市普通高中学业水平等级性考试成绩复核, 申请期限, 指定时间)']"
高考学考,秋考,考试篇,问：申请普通高中学业水平等级性考试成绩复核后，结果在哪里查看？答：复核结果在指定时间内通过“上海招考热线”网站（www.shmeea.edu.cn）首页-成绩查询-“20XX年上海市普通高中学业水平等级性考试成绩复核”进行查询。即在当时的申请页面查询。,"['(成绩复核, 属于, 普通高中学业水平等级性考试)', '(复核结果, 查询位置, 申请页面)', '(上海招考热线成绩查询栏目, 用于查询, 普通高中学业水平等级性考试成绩复核结果)']"
高考学考,秋考,考试篇,问：考生对于普通高中学业水平等级性考试成绩复核结果不满意，要求申请查看普通高中学业水平等级性考试各科目答卷。如何答复？答：已复核过的成绩无法再次申请复核。成绩复核时，由相关工作人员对以下内容核查：答题纸姓名、准考证号等是否与考生本人对应；答卷是否有漏评、漏阅；小题得分是否漏统、错统；各小题得分合成后是否与提供给考生的成绩一致等；成绩复核不重新评阅答卷。考生不得查看各科目答卷。（如家长情绪激动请尽量安抚，告知复核按照规定流程进行，确保公平公正）。,"['(普通高中学业水平等级性考试, 属于, 高考学考)', '(成绩复核, 核查项, 漏评)', '(成绩复核, 核查内容, 漏阅)', '(成绩复核, 核查, 漏统)', '(成绩复核, 核查, 错统)', '(成绩复核, 核查, 各小题得分合成后是否与成绩一致)', '(成绩复核, 核查, 各小题得分合成后是否与成绩一致)', '(复核流程, 确保, 公平公正)', '(考生, 不得查看, 各科目答卷)']"
高考学考,秋考,考试篇,问：普通高校招生统一文化考试成绩什么时候可以查询？答：可于6月23日14:00起至7月3日12:00通过“上海招考热线”网站（www.shmeea.edu.cn）首页—成绩查询—“2023年上海市普通高校招生统一文化考试成绩查询”。,"['(统一高考文化课考试成绩, 查询途径, 上海招考热线网站)']"
高考学考,秋考,考试篇,问：如果对普通高校招生统一文化考试成绩-有疑问，怎么申请复核？答：可于6月24日9:00至16:00通过“上海招考热线”网站（www.shmeea.edu.cn）首页—成绩查询—“2023年上海市普通高校招生统一文化考试成绩复核”提交申请。,"['(成绩复核申请, 提交途径, 上海市教育考试院报名网站)', '(成绩查询, 包含入口, 2023年上海市普通高校招生统一文化考试成绩复核)']"
高考学考,秋考,考试篇,问：查询普通高校招生统一文化考试成绩需要准考证吗？准考证遗失或找不到怎么办？答： 如遗失或找不到本人的准考证，在校生请联系学籍所在学校，非在校生请联系区招考机构。,"['(在校生, 联系, 学籍所在学校)', '(非在校生, 需联系, 区考试招生机构)']"
高考学考,秋考,考试篇,问：申请普通高校招生统一文化考试成绩复核后，结果在哪里查看？答：复核结果于6月25日12:00至7月3日12:00通过“上海招考热线”网站（www.shmeea.edu.cn）首页—成绩查询—“2023年上海市普通高校招生统一文化考试成绩复核”查询。,"['(普通高校招生统一文化考试成绩复核结果, 查询网站, 上海市教育考试院报名网站)', '(成绩查询, 包含, 2023年上海市普通高校招生统一文化考试成绩复核)']"
高考学考,秋考,考试篇,问：考生对于普通高校招生统一文化考试成绩复核结果不满意，要求再次复核或查看各科目答卷。如何答复？答：见秋考114问——已复核过的成绩无法再次申请复核。成绩复核时，由相关工作人员对以下内容核查：答题纸姓名、准考证号等是否与考生本人对应；答卷是否有漏评、漏阅；小题得分是否漏统、错统；各小题得分合成后是否与提供给考生的成绩一致等；成绩复核不重新评阅答卷。考生不得查看各科目答卷。（如家长情绪激动请尽量安抚，告知复核按照规定流程进行，确保公平公正）。,"['(普通高校招生统一文化考试成绩复核结果, 可申请, 再次复核)', '(成绩复核结果, 答复参考, 秋考114问)','(普通高校招生统一文化考试成绩复核结果, 不可申请, 再次复核)', '(成绩复核, 核查, 答题纸姓名)', '(成绩复核, 核查, 准考证号)', '(成绩复核, 核查, 漏评)', '(成绩复核, 核查, 漏阅)', '(成绩复核, 核查, 小题得分)', '(成绩复核, 核查, 错统)', '(成绩复核, 核查, 各小题得分)', '(成绩复核, 不重新评阅, 答卷)']"
高考学考,秋考,考试篇,问：高考的成绩通知单会寄送至考生家里吗？答：6月24日起，考生成绩通知单由上海市教育考试院通过邮政EMS特快专递，按照考生高考报名表上填写的本市通讯地址投递到考生家中。高考成绩单上包括以下内容：语文、数学、外语（1月份、6月份）科目成绩；考生选考的3门科目等级考等级及对应分值；总分和附加分。,"['(高考的成绩通知单, 发出机构, 上海教育考试院)', '(高考的成绩通知单, 投递方式, 邮政EMS特快专递)', '(高考的成绩通知单, 投递地址依据, 高考报名登记表)', '(高考报名登记表, 包含, 本市通讯地址)', '(高考的成绩通知单, 寄送地址, 考生高考报名表上填写的本市通讯地址)', '(高考的成绩通知单, 包含科目, 语文)', '(高考的成绩通知单, 包含科目成绩, 数学)', '(外语, 考试时间, 1月)', '(高考的成绩通知单, 包含, 3门科目等级考等级及对应分值)', '(等级考等级, 对应, 分值)', '(高考的成绩通知单, 包含, 总分)', '(高考的成绩通知单, 包含, 附加分)']"
高考学考,秋考,考试篇,问：高考成绩单没有收到怎么办？答：考生可于6月24日上午8:00后，通过中国邮政速递物流官网（www.ems.com.cn）查询成绩通知单投送情况（具体操作办法如下：点击进入高考成绩通知单界面查询，输入本人准考证号及相关验证码，即可搜索到考生本人成绩通知单的邮件号及邮件投送情况）。成绩通知单经两次投递后仍未收到的考生可拨打查询电话021-52609738（查询时间：6月24日-25日每天8:30-17:00）。6月28日中午，仍未能妥投的成绩通知单将被退回上海市教育考试院（杨浦区民星路465号)，考生可到上海市教育考试院领取，建议领取前先行联系35367112（考试院门卫处），询问考试院是否有收到考生的成绩单。,"['(高考成绩单, 投送情况查询方式, 中国邮政速递物流官网)', '(成绩通知单, 最大投递次数, 2次)', '(成绩通知单, 退回地点, 上海教育考试院)', '(上海教育考试院, 地址, 杨浦区民星路465号)', '(上海市教育考试院门卫处, 联系电话, 35367112)', '(准考证号, 用于查询, 邮件号及邮件投送情况)', '(邮件号, 用于查询, 成绩通知单投送情况)']"
高考学考,秋考,考试篇,问：前往考试院领取未能妥投的高考成绩单需要携带什么证件？答：考生本人来领取带好自己的身份证，代办人带好代办人身份证和考生的身份证。,"['(高考成绩单, 领取地点, 教育考试院)', '(考生本人, 携带, 考生身份证)', '(代办人, 需携带, 代办人身份证)', '(代办人, 携带, 考生身份证)']"
高考学考,秋考,考试篇,问：如何办理高中学业水平考试或秋考成绩证明？答：请考生联系考试院35367070、962066-5-1确认考试成绩证明办理是否已经开始。（此类考试成绩预计在成绩开通查询后的30天至45天入库，具体以实际情况为准）。,"['(成绩证明, 办理机构, 教育考试院)', '(教育考试院, 联系电话, 962066-5-1)', '(成绩证明, 预计入库时间, 成绩开通查询后的30至45天)']"
高考学考,秋考,志愿篇,问：什么是院校专业组？答：院校专业组由招生院校根据不同专业（含专业或大类）的科目要求和人才培养需要设置，是本科志愿填报与投档录取的基本单位。在沪招生高校按照“院校专业组”方式在上海开展本科招生。一所高校可设置一个或多个院校专业组，每个院校专业组内可包含数量不等的专业。同一院校专业组内各专业的选考科目要求相同。考生的选考科目与拟报院校专业组的科目要求相符时，才具有填报该院校专业组志愿的资格。,"['(招生高校, 设置, 院校专业组)', '(在沪招生高校, 采用, 院校专业组)', '(高校, 设置, 院校专业组)', '(院校专业组, 包含, 专业)', '(院校专业组, 包含选考科目相同的, 同一院校专业组内的专业)', '(考生, 需满足, 院校专业组的科目要求)', '(院校专业组, 具有, 科目要求)']"
高考学考,秋考,志愿篇,问：2024报考各专业的科目要求在哪里可以查看？答：请通过“上海招考热线”网站（www.shmeea.edu.cn）首页-高考学考-秋季高考页面下，查看2021年12月31日发布的《关于公布2024年普通高校本科专业选考科目要求的通知》内的附件《2024年普通高校本科专业选考科目要求》。,"['(高考学考, 包含子栏目, 秋季高考)']"
高考学考,秋考,志愿篇,问：招生专业目录中的收费标准是按学期还是学年收取？答：收费标准类内的单位是每学年。,"['(收费标准类, 单位, 每学年)']"
高考学考,秋考,志愿篇,问：考生可以报考一所高校的多个院校专业组吗？答：同一高校的不同院校专业组之间互无关联，符合填报资格的考生可以填报某所高校的一个院校专业组，也可以填报同一所高校的多个不同的院校专业组；对于同一所高校的不同院校专业组，既可以连续填报，也可以间隔填报。,"['(考生, 可以填报, 院校专业组)', '(高校, 包含, 院校专业组)']"
高考学考,秋考,志愿篇,问：考生如何判断自己是否具有填报某院校专业组的资格？答：考生的选考科目与拟报院校专业组的科目要求相符时，才具有填报该院校专业组志愿的资格。当院校专业组科目要求为“或”的关系时，考生选考科目中只要有1门与其相符，即具有填报资格；当院校专业组科目要求为“和”的关系时，考生选考科目须包含其要求的全部科目，方具有填报资格。对于不限科目要求的院校专业组，考生在填报时无选考科目限制。除科目要求外，部分院校专业组（专业）还会提出外语语种、单科成绩、身体条件等要求，考生应结合自身实际，填报符合相关条件的院校专业组（专业）。,"['(考生选考科目, 需符合, 院校专业组的科目要求)', '(院校专业组, 有要求, 外语语种)', '(院校专业组, 要求, 单科成绩)', '(院校专业组, 有要求, 身体条件)']"
高考学考,秋考,志愿篇,问：科目要求为“或”的关系与科目要求为“和”的关系有什么区别？答：当院校专业组科目要求为“或”的关系时，考生选考科目中只要有1门与其相符，即具备填报该院校专业组的资格。例如，某院校专业组科目要求为“物理或化学”，那么考生的3门选考科目中只要含有物理或化学，就具备了填报该院校专业组的资格。当院校专业组科目要求为“和”的关系时，考生选考科目须包含其要求的全部科目，方具备填报该院校专业组的资格。例如，某院校专业组科目要求为“物理和化学”，那么想要填报该院校专业组的考生3门选考科目中必须有物理和化学2门科目，否则不能填报该院校专业组。,"['(院校专业组, 科目要求逻辑, 或)']"
高考学考,秋考,志愿篇,问：某个院校专业组中有10个专业，能不能在一个志愿中选择填报其中4个专业，在下一个志愿中选择填报其中另4个专业？答：不能。同一院校专业组中所含专业只能填报在一个志愿中。即专业组在志愿表内只能出现一次。,"['(院校专业组, 包含, 专业)']"
高考学考,秋考,志愿篇,问：考生如何查看高校的《招生章程》？答：高校的《招生章程》会根据隶属关系由相关部委或所在省市教育行政部门审核备案并公示。上海市属院校的《招生章程》经上海市教育委员会核定并备案，且在教育部“阳光高考”平台（gaokao.chsi.com.cn）公布。考生可登录教育部“阳光高考”平台，也可直接登录高校的招生网，査询有关高校的《招生章程》。,"['(考生, 登录, 高校的招生网)']"
高考学考,秋考,志愿篇,问：本科各批次分别可填报多少个院校专业组志愿？各批次的先后顺序有吗？答：以2024年为例，顺序如下：各批次招生录取工作前先完成强基计划招生顺序1-综合评价批次可设置4个平行志愿。招生顺序2-零志愿批次可设置3个平行志愿。招生顺序3-本科提前批次可设置4个顺序志愿；招生顺序3-本科艺体类甲、乙批次可各设置1个顺序段志愿和10个平行段志愿。招生顺序4-地方农村专项计划批次可设置4个顺序志愿。招生顺序5-高水平运动队等特殊类型招生针对零志愿批次可设置1个志愿，针对本科普通批次设置3个平行志愿。招生顺序6-本科普通批次设置24个平行志愿。注：招生顺序3的批次只可选择“本科提前批次”或“本科艺体类甲、乙批次”。2024年高校高水平艺术团不再从高校招生环节选拔，由相关高校从在校生中遴选培养。,"['(综合评价批次, 平行志愿数量, 4)', '(零志愿批次, 可设置, 3个平行志愿)', '(本科提前批次, 可设置, 4个顺序志愿)', '(本科艺体类甲批次, 可设置, 1个顺序段志愿)', '(本科艺体类甲批次, 平行段志愿数量, 10)', '(本科艺体类乙批次, 可设置, 1个顺序段志愿)', '(本科艺体类乙批次, 可设置, 10个平行段志愿)', '(地方农村专项计划批次, 可设置, 4个顺序志愿)', '(高水平运动队等特殊类型招生, 针对零志愿批次设置, 1个志愿)', '(高水平运动队等特殊类型招生, 设置平行志愿, 本科普通批次)', '(高水平运动队等特殊类型招生, 针对本科普通批次设置, 3个平行志愿)', '(本科普通批次, 设置, 24个平行志愿)', '(高校高水平艺术团, 选拔终止于, 高校招生环节)', '(高校高水平艺术团, 成员来源, 在校生)', '(强基计划, 招生年份, 2024年)', '(综合评价批次, 适用年份, 2024年)', '(地方农村专项计划批次, 年份, 2024年)', '(本科普通批次, 年份, 2024年)']"
高考学考,秋考,志愿篇,问：什么是平行志愿？答：平行志愿遵循“分数优先，遵循志愿，一轮投档”原则。考生由高分到低分排序（同分考生按同分排序原则进行排序），由投档系统逐一检索考生的志愿。当检索到某一名考生的时候，从他填报的第一个志愿开始依次往后检索，只要考生填报的某个志愿应投档额未满，该考生就被投档到这一志愿，投档系统不再检索其后志愿。一般情况下，考生只要投档成功，基本都能被正常录取。极少数因各种原因被退档的考生，不能再被投档到下一个志愿，而只能等待参加征求志愿。,"['(退档, 需参加, 征求志愿)']"
高考学考,秋考,志愿篇,问：什么是顺序志愿？答：顺序志愿是指依据志愿序号一次完成投档录取的一种招生方式，在一志愿完成全部录取后，再进行下一志愿的投档。,"['(顺序志愿, 依据, 志愿序号)', '(顺序志愿, 投档方式, 按志愿序号依次完成投档录取)', '(一志愿, 优先于, 下一志愿)']"
高考学考,秋考,志愿篇,问：什么是专业志愿？考生在本科阶段可以填报几个专业志愿？答：在本科阶段，每个院校专业组内含数量不等的专业。考生在填报一个院校专业组志愿时，最多可选择填报4个专业志愿。若该院校专业组下设的专业数不足4个，考生可按实际选择，填完即止。如果考生在某个院校专业组志愿中想要填报的专业数超过4个，不能直接反映在志愿表中，可以依据个人的喜好和招生院校的专业录取原则填报4个专业志愿，其他专业的选择意愿可通过“愿否专业调剂”的选项表达。,"['(院校专业组, 包含, 专业)', '(考生, 填报, 专业志愿)', '(是否服从专业调剂, 属于, 志愿表)']"
高考学考,秋考,志愿篇,"问：填报志愿时,是否需要填满全部院校专业组志愿和专业志愿？答：考生可根据本人情况和意愿来选择填报院校专业组和专业志愿的个数，可以全部填写或部分填写,没有规定一定要全部填满。建议考生尽可能填满院校专业组和4个专业志愿，充分表达自己的报考意愿，提高录取几率。","['(秋考, 包含, 志愿篇)', '(考生, 根据, 本人情况和意愿)', '(填满院校专业组和4个专业志愿, 提高, 录取几率)']"
高考学考,秋考,志愿篇,问：《招生专业目录》中“限招英语”是什么意思？答：“限招英语”是指该院校专业组（专业）只招收高考外语考试语种为英语的考生，俄语、日语、德语、法语、西班牙语的考生不能填报该院校专业组（专业）。同理，个别院校专业组（专业）提出“限招日语”的要求，只有高考外语考试语种为日语的考生才能填报该专业组（专业），选考英语或其他语种的考生不能填报。请考生在选择志愿时务必看清外语语种要求。,"['(限招英语, 禁止填报, 俄语考生)', '(限招英语, 排除, 日语考生)', '(限招英语, 不允许报考, 德语考生)', '(限招英语, 排除语种, 西班牙语)', '(限招日语, 排除, 英语考生)', '(限招日语, 不招收, 德语)', '(限招日语, 排除, 法语)', '(高考外语考试语种, 包括, 俄语)', '(高考外语考试语种, 包括, 日语)', '(高考外语考试语种, 包括, 德语)', '(高考外语考试语种, 包括, 法语)', '(高考外语考试语种, 包括, 西班牙语)', '(考生, 需注意, 外语语种要求)', '(限招日语, 属于, 外语语种要求)']"
高考学考,秋考,志愿篇,问：考生在填报志愿的过程中如何得到指导和帮助？答：（1）《2024年上海市普通高等学校招生专业目录》。在沪招生高校2024年的实际招生专业信息，以此书为准。（2）《2022-2023年上海市普通高等学校招生各专业录取人数及考分》。（3）2024年考生高考成绩分布表（统一高考成绩发布时会公布）。注：以上是2024年预估信息（待定）。,"['(2024年考生高考成绩分布表, 提供数据支持, 考生填报志愿)', '(2024年考生高考成绩分布表, 发布时间, 统一高考成绩发布时)', '(考生, 参考, 2024年考生高考成绩分布表)']"
高考学考,秋考,志愿篇,问：高考后志愿填报是否有网络直播指导和咨询？答：有的。上海市教育考试院-一般会在本科志愿填报前和专科志愿填报前，组织本市及部分外省市院校进行网上集中咨询，在线解答考生和家长的疑问。此外，通过上海教育电视台、“上海国子监发布”视频号、“哗哩哗哩”网站等渠道，组织开展直播活动，讲解高招政策并邀请招生高校介绍招生信息。具体咨询及活动时间将在“上海招考热线”网站和“上海国子监发布”微信公众号上发布。注：详情可关注“上海招考热线”网站（www.shmeea.edu.cn）首页—高考学考—秋季高考栏目发布信息。注：以上是2024年预估信息。,"['(上海教育考试院, 组织, 网上集中咨询)', '(网上集中咨询, 举办时间, 专科志愿填报前)', '(上海教育考试院, 组织直播活动通过, 上海教育电视台)', '(直播活动, 讲解, 高招政策)', '(直播活动, 介绍, 招生信息)']"
高考学考,秋考,志愿篇,问：考生可通过哪些渠道购买《2024年上海高考指南》以及《2024年上海市普通高等学校招生专业目录》？答：以上海招考热线网站公告为准。,[]
高考学考,秋考,志愿篇,问：已填报的志愿可以撤销吗？答：可以撤销，但考生须在相关招生批次启动日之前办理撤销手续。请考生和考生父母一起携带好有效身份证件（如身份证）前往杨浦区民星路465号考试院签署《普通高校招生志愿撤销申请单》（一式三份）。各阶段批次办理撤销时间节点不同。,"['(考生, 办理, 志愿撤销手续)', '(撤销手续, 办理地点, 杨浦区民星路465号考试院)', '(考生及父母, 需共同办理, 撤销手续)']"
高考学考,秋考,志愿篇,问：2024年各批次志愿撤销时间节点？答：（1）本科提前批次：7月6日上午12：00前须办理撤销本科提前批次或本科艺体批甲批次手续手续；（2）地方农村专项计划批次：7月17日上午12：00前须办理撤销地方农村专项计划志愿手续；（4）本科普通批次：7月20日上午12：00前须办理撤销本科普通批次志愿手续；其中撤销本科普通批次志愿同时无法参与本科征求志愿的投档录取工作。除申请的撤销批次志愿外，若符合其余未撤销批次投档要求，仍可参与相关批次投档录取。注：以上是2024年信息。,"['(地方农村专项计划批次, 撤销时间, 7月17日上午12：00前)', '(本科普通批次, 撤销导致无法参与, 本科征求志愿)']"
高考学考,秋考,志愿篇,问：志愿表中“愿否专业调剂”一栏中的“1、2、3、4”分别代表什么意思？答：在志愿表中，“愿否专业调剂”是指考生愿否接受该院校专业组内其他未填报专业的调剂录取，该项可选代码有“ 1、2、3、4 ”，其中“1”表示全部愿意接受调剂；“2”表示全部不愿意接受调剂；“3”表示除高收费专业外均愿意接受调剂；“4”表示除医科专业外均接受愿意调剂。,"['(志愿表, 包含栏目, 是否服从专业调剂)', '(是否服从专业调剂, 调剂范围, 院校专业组)', '(是否服从专业调剂, 调剂范围包含, 院校专业组内未填报专业)', '(愿否专业调剂代码3, 排除, 高收费专业)', '(4, 排除调剂, 医学门类专业)', '(调剂录取, 适用于, 院校专业组)', '(调剂录取, 应用于, 院校专业组内未填报专业)']"
高考学考,秋考,志愿篇,问：专业调剂选项框可以不选吗？答：考生在“愿否专业调剂”一栏中，必须选择至少一个选项，否则系统不接受该志愿的提交。,"['(系统, 不接受, 志愿提交)']"
高考学考,秋考,志愿篇,问：如果在某一院校专业组志愿的“愿否专业调剂”选项中选择了“全愿意调剂”，是在该校的全部专业中调剂吗？答：不是。专业调剂只在考生所投档到的院校专业组内专业中进行调剂。,[]
高考学考,秋考,志愿篇,"问：什么是控制线？答：控制线全称为批次录取控制分数线，根据当年各批次招生计划数和考生成绩，从高分到低分排序后,确定各批次录取控制分数线。待统一高考成绩公布时,上海市教育考试院将公布本科录取控制分数线、艺术类本科文化控制分数线、体育类本科文化控制分数线、特殊类型招生控制分数线。","['(控制线, 全称为, 批次录取控制分数线)', '(上海教育考试院, 公布, 本科录取控制分数线)', '(上海教育考试院, 公布, 艺术类本科文化控制分数线)', '(上海教育考试院, 公布, 体育类本科文化控制线)', '(上海教育考试院, 公布, 特殊类型招生控制分数线)', '(批次录取控制分数线, 根据, 考生成绩和招生计划数)', '(批次录取控制分数线, 确定依据, 考生成绩和招生计划数)']"
高考学考,秋考,志愿篇,"问：本科阶段各控制线是怎样划定的？答：本科录取控制分数线根据本科批次招生计划数、报考人数和考生成绩确定。艺术类本科文化控制分数线根据本科录取控制分数线的75%折算而成。体育类本科文化控制分数线根据本科录取控制分数线的70%折算而成。
特殊类型控制分数线：503分（满分660分）
本科录取控制分数线：403分（满分660分）
本科征求志愿降分控制分数线：388分（满分660分）
艺术类本科文化控制分数线（舞蹈类、戏曲类除外）：302分（满分660分）
舞蹈类、戏曲类本科文化控制分数线：220分（满分660分）
体育类本科文化控制分数线：282分（满分660分）
专科录取控制分数线：100分（满分450分）
注：上图为2024年各批次控制分数线。","['(本科录取控制分数线, 根据, 本科批次招生计划数、报考人数和考生成绩)', '(艺术类本科文化控制分数线, 根据, 本科录取控制分数线的75%折算)', '(体育类本科文化控制分数线, 根据, 本科录取控制分数线的70%折算)', '(特殊类型控制分数线, 为, 503分)', '(本科录取控制分数线, 为, 403分)', '(本科征求志愿降分控制分数线, 为, 388分)', '(艺术类本科文化控制分数线, 为, 302分)', '(舞蹈类、戏曲类本科文化控制分数线, 为, 220分)', '(体育类本科文化控制分数线, 为, 282分)', '(专科录取控制分数线, 为, 100分)']"
高考学考,秋考,志愿篇,"问：什么是投档线？答：投档线在普通本科批次以院校专业组投档线的方式呈现。以本科普通批次为例，对本科录取控制分数线上的考生按高考成绩进行排序，按院校专业组实到计划数1：1比例进行检索投档,排在最后一名的考生成绩即为该院校专业组投档线。投档线不是事先确定的，而是在向院校专业组投档完成后自然形成的，一所高校有几个院校专业组就可能有几条对应的投档线。","['(投档线, 呈现方式, 院校专业组投档线)', '(投档线, 呈现方式为, 院校专业组投档线)', '(考生, 排序依据, 高考成绩)', '(考生, 需达到, 本科录取控制分数线)', '(院校专业组投档线, 形成于, 最后一名考生的高考成绩)', '(投档线, 形成于, 院校专业组投档完成后)', '(高校, 包含, 院校专业组)', '(院校专业组, 具有, 投档线)']"
高考学考,秋考,志愿篇,问：什么是录取线？答：录取线指的是高校各专业实际录取考生的最低分数。录取线不是事先确定的，而是在高校完成录取后自然产生的。一所高校有若干个招生专业，就可能有若干个专业录取线。录取线的相关解释请咨询相关高校。,"['(高考学考-秋考-志愿篇, 解释, 录取线)', '(专业, 有, 专业录取线)', '(录取线, 指, 实际录取考生的最低分数)', '(录取线, 相关解释需咨询, 高校)']"
高考学考,秋考,志愿篇,问：什么是强基计划？答：强基计划主要选拔培养有志于服务国家重大战略需求且综合素质优秀或基础学科拔尖的学生。聚焦高端芯片与软件、智能科技、新材料、先进制造和国家安全等关键领域以及国家人才紧缺的人文社会科学领域，由有关高校结合自身办学特色，突出基础学科的支撑引领作用，重点在数学、物理、化学、生物、力学、基础医学、育种及历史、哲学、古文字学等相关专业招生。,"['(强基计划, 聚焦, 高端芯片与软件)', '(强基计划, 聚焦领域, 智能科技)', '(强基计划, 聚焦, 新材料)', '(强基计划, 聚焦, 先进制造)', '(强基计划, 聚焦, 国家安全)', '(强基计划, 聚焦, 国家人才紧缺的人文社会科学领域)', '(强基计划, 聚焦, 人文社会科学领域)', '(基础学科, 支撑, 物理)', '(基础学科, 支撑引领, 生物)', '(基础学科, 支撑引领, 基础医学)', '(基础学科, 支撑引领, 育种)', '(基础学科, 支撑引领, 历史专业)', '(强基计划, 重点招生专业, 数学)', '(强基计划, 包含专业, 物理)', '(强基计划, 招生专业, 化学)', '(强基计划, 招生, 力学)', '(强基计划, 重点招生专业, 基础医学)', '(强基计划, 招生专业, 育种)', '(强基计划, 招生, 历史)', '(强基计划, 招生专业, 哲学)', '(强基计划, 招生专业, 古文字学)']"
高考学考,秋考,志愿篇,"问：有哪些高校实施强基计划？答：强基计划遴选39所“一流大学”建设高校开展试点，具体如下：*北京大学、*中国人民大学、*清华大学、*北京航空航天大学、*北京理工大学、中国农业大学、北京师范大学、中央民族大学、*南开大学、*天津大学、大连理工大学、吉林大学、*哈尔滨工业大学、*复旦大学、*同济大学、*上海交通大学、*华东师范大学、*南京大学、*东南大学、*浙江大学、中国科学技术大学、*厦门大学、山东大学、中国海洋大学、*武汉大学、华中科技大学、中南大学、中山大学、华南理工大学、*四川大学、重庆大学、电子科技大学、*西安交通大学、西北工业大学、*兰州大学、国防科技大学、东北大学、湖南大学、西北农林科技大学
注：标注“ * ”的高校2023年在沪开展强基计划招生，具体招生情况请参考各校《招生简章》。2024年强基计划招生信息以各校实际发布为准。","['(强基计划, 遴选, 一流大学建设高校)', '(一流大学建设高校, 发布, 强基计划招生简章)', '(强基计划招生信息, 应参考, 院校招生简章)', '(强基计划招生信息, 适用年份, 2024年)','(北京大学, 实施, 强基计划)', '(中国人民大学, 实施, 强基计划)', '(清华大学, 实施, 强基计划)', '(北京航空航天大学, 实施, 强基计划)', '(北京理工大学, 实施, 强基计划)', '(中国农业大学, 实施, 强基计划)', '(北京师范大学, 实施, 强基计划)', '(中央民族大学, 实施, 强基计划)', '(南开大学, 实施, 强基计划)', '(天津大学, 实施, 强基计划)', '(大连理工大学, 实施, 强基计划)', '(吉林大学, 实施, 强基计划)', '(哈尔滨工业大学, 实施, 强基计划)', '(复旦大学, 实施, 强基计划)', '(同济大学, 实施, 强基计划)', '(上海交通大学, 实施, 强基计划)', '(华东师范大学, 实施, 强基计划)', '(南京大学, 实施, 强基计划)', '(东南大学, 实施, 强基计划)', '(浙江大学, 实施, 强基计划)', '(中国科学技术大学, 实施, 强基计划)', '(厦门大学, 实施, 强基计划)', '(山东大学, 实施, 强基计划)', '(中国海洋大学, 实施, 强基计划)', '(武汉大学, 实施, 强基计划)', '(华中科技大学, 实施, 强基计划)', '(中南大学, 实施, 强基计划)', '(中山大学, 实施, 强基计划)', '(华南理工大学, 实施, 强基计划)', '(四川大学, 实施, 强基计划)', '(重庆大学, 实施, 强基计划)', '(电子科技大学, 实施, 强基计划)', '(西安交通大学, 实施, 强基计划)', '(西北工业大学, 实施, 强基计划)', '(兰州大学, 实施, 强基计划)', '(国防科技大学, 实施, 强基计划)', '(东北大学, 实施, 强基计划)', '(湖南大学, 实施, 强基计划)', '(西北农林科技大学, 实施, 强基计划)']"
高考学考,秋考,志愿篇,问：2024年强基计划大概什么时候开始？答：请考生或家长登录阳光高考网站，以强基计划栏目内各高校发布的招生简章为准。预计时间在4月份。请考生关注“上海招考热线”网站或微信公众号“上海国子监发布”。,"['(强基计划, 开始年份, 2024年)', '(强基计划, 预计开始时间, 4月份)', '(教育部阳光高考网站, 包含, 强基计划栏目)', '(高校, 发布, 强基计划招生简章)', '(院校招生简章, 发布在, 强基计划栏目)', '(强基计划, 关注渠道, 上海市教育考试院报名网站)', '(强基计划, 官方信息渠道, 上海国子监发布)']"
高考学考,秋考,志愿篇,问：强基计划的考生需要填报志愿吗？答：强基计划无需专门填报志愿，在教育部“阳光高考”指定的网站报名即视为志愿填报。未被录取的考生仍可参加其后的招生批次志愿填报及录取。,"['(强基计划, 无需专门填报, 志愿)', '(阳光高考网站报名, 视为, 考生填报志愿)', '(阳光高考, 指定平台, 教育部)', '(强基计划报名, 通过, 教育部阳光高考网站)', '(考生, 报名, 强基计划)']"
高考学考,秋考,志愿篇,问：强基计划填报志愿后需要做什么事情？答：待高校公布入围分数线或入围学生名单后，在学校指定的时间内参与学校校测。具体事项请联系高校确认。,"['(高校, 公布, 入围分数线)', '(高校, 公布, 入围学生名单)', '(强基计划, 需参加, 学校校测)', '(高校, 组织, 校测)']"
高考学考,秋考,志愿篇,问：强基计划什么时候进行校测？答：请考生以意向院校公布的信息为准。,"['(秋考, 包含章节, 志愿篇)', '(校测, 组织者, 意向院校)']"
高考学考,秋考,志愿篇,问：强基计划什么时候能查询到录取名单？答：各院校会陆续公布录取名单，具体信息以各院校网站公布信息为准。,"['(各院校, 公布, 录取名单)', '(录取名单, 公布, 各院校官网)']"
