部分,考试类型,问题类型,问答对,三元组
高考学考,秋考,志愿篇,问：专科普通批次投档时，高考总分相同的考生该如何排序？答：专科普通批次同分考生按以下位序排序：第1位序，比较语文加数学两门合计成绩高低，高者优先。第2位序，第1位序同分者中，比较语文或数学中单科成绩高低，高者优先。第3位序，第2位序同分者中，比较考生志愿顺序，按各自顺序分别投档。志愿顺序相同的同分同位考生同时投档。,"['（专科普通批次，投档排序依据，排序）', '（第1位序，比较依据，语文加数学两门合计成绩）', '（第2位序，比较依据，语文或数学中单科成绩）', '（第3位序，比较依据，考生志愿顺序）', '（第1位序，下一位序，第2位序）', '（第2位序，下一位序，第3位序）', '（考生志愿顺序，决定投档顺序，按各自顺序分别投档）', '（志愿顺序相同的同分同位考生，处理方式，同时投档）']"
高考学考,秋考,志愿篇,问：专科各批次录取名单中未查询到录取结果，是否有征求志愿？答：考试院会公布专科批次征求志愿录取控制分数线，同时公布招生院校缺额计划表及线上未录取考生成绩分布（含艺体类招生院校）。,"['（考试院，公布，专科批次征求志愿录取控制分数线）', '（考试院，公布，招生院校缺额计划表）', '（考试院，公布，成绩分布）', '（招生院校缺额计划表，包含，艺体类招生院校）', '（成绩分布，属于，线上未录取考生）', '（专科批次征求志愿录取控制分数线，用于，征求志愿）', '（征求志愿，属于，专科各批次）']"
高考学考,秋考,志愿篇,问：什么时候可以填报专科批次的征求志愿？答：8月3日9：00-13：00，考生登录“上海招考热线”网站（www.shmeea.edu.cn）首页—志愿填报，填报专科批次征求志愿（含艺体类批次）。注：以上是2024年高考相关信息。,"['（专科批次征求志愿，填报时间，8月3日9:00-13:00）', '（专科批次征求志愿，所属考试，2024年高考）', '（专科批次征求志愿，包含，艺体类批次）', '（上海招考热线，用于填报，专科批次征求志愿）', '（上海招考热线，网址，www.shmeea.edu.cn）', '（高考学考，包含，秋考）', '（秋考，包含，志愿篇）']"
高考学考,秋考,志愿篇,问：专科批次的征求志愿有降分吗？答：没有降分。,"['（高考学考，包含，秋考）', '（秋考，包含，志愿篇）', '（志愿篇，涉及，专科批次）', '（专科批次，包含，征求志愿）', '（征求志愿，无降分，降分）']"
高考学考,春考,录取结果后相关事件篇,问：录取过程中如有遇到录取规则的询问？答：录取相关工作由高校执行。根据相关规定，各高校的招生简章内必须说明录取规则。,"['（招生简章，说明，录取规则）', '（相关规定，要求，招生简章）']"
高考学考,春考,录取结果后相关事件篇,"问：2023年被部分外省市普通高校录取的本市常住户口考生申领一次性经济补贴的条件？答：请确认考生是在高考报名时是上海本市户口，录取志愿是普通批次（艺体批、提前批、综评批、强基批、特殊类型批均没有补贴），高校已生成考生学籍并更新学信网信息。报考高校在名单内（https://mp.weixin.qq.com/s/9wIgiuvhHKq7WjmIn6uTYw）。
	注：2024年起无相关补贴",[]
高考学考,春考,录取结果后相关事件篇,问：一次性经济补贴办理时限？答：2023年10月8日至12月31日期间登录“一网通办”网站（https://zwdtuser.sh.gov.cn/）或“随申办市民云”APP，搜索关键字“一次性经济补贴”找到补贴申请链接，登入补贴申请平台并填写相关申请信息（注：申请信息中的银行卡必须使用上海开户的本人名下借记卡）。逾期未办理登记，视同自动放弃，考试院将不再受理。,"['（一次性经济补贴，办理时限，2023年10月8日至12月31日）', '（一次性经济补贴，申请途径，""一网通办""网站）', '（一次性经济补贴，申请途径，随申办市民云APP）', '（一次性经济补贴，使用平台，补贴申请平台）', '（一次性经济补贴，开户要求，上海开户的本人名下借记卡）', '（考试院，受理机构，一次性经济补贴）']"
高考学考,春考,录取结果后相关事件篇,问：录取工作结束后，考生如何将自己的纸质档案移交至高校？答：2023年录取考生原则上于8月27日前办理纸质档案转递手续，具体办理时间以各区招考机构公布为准。,[]
高考学考,春考,录取结果后相关事件篇,问：纸质档案的转递手续？答：考生凭高校录取通知书、本人身份证和准考证到报名所在区招考机构或毕业学校办理纸质档案的提取或转递手续（非本市应届高中毕业生到区招考机构，本市学籍应届生到毕业学校）。考生毕业学校经核对无误，并经考生本人签字确认后，将密封好的纸质档案交与考生（仅限本市学籍应届生），由考生本人将纸质档案在规定时间交至录取高校；非本市应届高中毕业生凭区招考机构开具的调档证明至各区公共就业服务机构办理纸质档案的转递手续。纸质档案属个人重要资料，不得擅自启封、拆阅。,"['（考生本人，办理，转递手续）', '（转递手续，需证件，高校录取通知书）', '（转递手续，需证件，本人身份证）', '（转递手续，需证件，准考证）', '（非本市应届高中毕业生，办理，区招考机构）', '（本市学籍应届生，办理，毕业学校）', '（毕业学校，交与，考生本人）', '（考生本人，交至，录取高校）', '（区招考机构，开具，调档证明）', '（非本市应届高中毕业生，办理，各区公共就业服务机构）', '（纸质档案，属于，个人重要资料）', '（纸质档案，不得，擅自启封）', '（纸质档案，不得，拆阅）']"
高考学考,春考,录取结果后相关事件篇,问：复读生的档案如何处理？答：纸质档案包含考生高中毕业班学生登记表、体育合格材料、社会实践表、入团志愿表、体格检查表、高考报名登记表、思想政治品德考查表、高考志愿表、加分证明、资格审核相关材料等个人重要信息。考生不得擅自启封、拆阅纸质档案。考生毕业的中学一般会将未领取的考生档案退还到考生户口所在地的区招考机构，再转送到考生户籍所在区的公共就业服务机构。不过，各区情况有所不同，具体情况请考生向当年报考所在的区招考机构了解。,"['（复读生，属于，考生）', '（纸质档案，包含，高中毕业班学生登记表）', '（纸质档案，包含，体育合格材料）', '（纸质档案，包含，社会实践表）', '（纸质档案，包含，入团志愿表）', '（纸质档案，包含，体格检查表）', '（纸质档案，包含，高考报名登记表）', '（纸质档案，包含，思想政治品德考查表）', '（纸质档案，包含，高考志愿表）', '（纸质档案，包含，加分证明）', '（纸质档案，包含，资格审核相关材料）', '（中学，退还档案到，区招考机构）', '（区招考机构，转送到，公共就业服务机构）', '（考生，向了解，区招考机构）', '（考生户口所在地，对应，区招考机构）', '（考生户籍所在区，对应，公共就业服务机构）']"
高考学考,春考,录取结果后相关事件篇,问：如何申请高考发票？答：请考生在高考考试缴费完成的3个月后，用考生自己的账号在“随申办”下载打印报名费发票。,"['（申请高考发票，关联，考生）', '（申请高考发票，时间条件，3个月后）', '（申请高考发票，使用平台，随申办）', '（考生，拥有，账号）', '（报名费发票，下载打印动作，下载打印）', '（高考考试缴费，生成，报名费发票）']"
高考学考,春考,录取结果后相关事件篇,问：去高校报到时，学校新生系统照片比对不通过，怎么办？答：请考生联系所在院校，让学校负责老师联系上海教育考试院的招生办。,"['（考生，属于，所在院校）', '（所在院校，联系，上海教育考试院）', '（上海教育考试院，有，招生办）', '（学校负责老师，属于，所在院校）', '（照片比对，属于，学校新生系统）', '（录取结果，关联，高考学考）', '（录取结果，关联，春考）']"
高考学考,春考,录取结果后相关事件篇,问：各区招考机构地址及电话？答：以下是2024年信息：,"['（高考学考，并列考试，春考）', '（高考学考，产生，录取结果）', '（春考，产生，录取结果）', '（各区招考机构，拥有，地址）', '（各区招考机构，拥有，电话）', '（2024年信息，时间限定，各区招考机构）']"
高考学考,春考,报名篇,问：春考是高考吗？答：本市普通高校考试招生包括春季考试招生、专科层次依法自主招生（简称“专科自主招生”）、招收中等职业学校应届毕业生考试（简称“三校生高考”）和秋季统一高考招生等。,"['（普通高校考试招生，包括，春季考试招生）', '（普通高校考试招生，包括，专科层次依法自主招生）', '（普通高校考试招生，包括，三校生高考）', '（普通高校考试招生，包括，秋季统一高考招生）', '（专科层次依法自主招生，简称，专科自主招生）', '（春考，是，春季考试招生）']"
高考学考,春考,报名篇,问：考生今年高三怎么报名参加当年春考？（在校考生如何报名参加当年春考？）答：本市学籍应届高中阶段毕业生由学籍所在学校集中组织网上报名。请考生/家长主动联系学校。,"['（春考，属于，高考学考）', '（报名篇，关于，春考）', '（考生，参加，春考）', '（在校考生，属于，考生）', '（本市学籍应届高中阶段毕业生，属于，在校考生）', '（学籍所在学校，组织，网上报名）', '（考生/家长，联系，学校）']"
高考学考,春考,报名篇,"问：考生是复读生，怎么报名参加当年春考？（往届生、返沪生、社会生如何报名？）答：非本市应届高中阶段毕业生（往届生、非本市学籍应届生等）自主登录网站进行报名，按不同类别选择报考所在区：本市户籍外省市就读考生、本市户籍往届生选择户籍所在区；
    本市户籍外省市就读考生、本市户籍往届生选择户籍所在区；
	在职职工选择单位所在区；
	非本市户籍考生选择持有的《上海市居住证》所属区。","['（考生，是，复读生）', '（非本市应届高中阶段毕业生，包含，往届生）', '（非本市应届高中阶段毕业生，包含，非本市学籍应届生）', '（非本市应届高中阶段毕业生，自主登录，网站）', '（本市户籍外省市就读考生，选择，户籍所在区）', '（本市户籍往届生，选择，户籍所在区）', '（在职职工，选择，单位所在区）', '（非本市户籍考生，选择，所属区）', '（非本市户籍考生，持有，《上海市居住证》）']"
高考学考,春考,报名篇,问：本市户籍应届毕业三校生和非本市户籍的应届毕业三校生可以参加春考吗？答：不可以。《上海市教育委员会关于做好2024年上海市普通高校考试招生报名工作的通知》（沪教委学[2023]40号）文件，春季考试招生报名考生不含本市中等职业学校（中专、职校和技校）的应届毕业生。如市民有疑义告知市民相关规定，同时告知应届毕业三校生可以参加三校生高考。,"['（上海市教育委员会，发布，《上海市教育委员会关于做好2024年上海市普通高校考试招生报名工作的通知》）', '（《上海市教育委员会关于做好2024年上海市普通高校考试招生报名工作的通知》，文号，沪教委学[2023]40号）', '（中等职业学校，包括，中专）', '（中等职业学校，包括，职校）', '（中等职业学校，包括，技校）', '（本市户籍应届毕业三校生，不能参加，春考）', '（非本市户籍应届毕业三校生，不能参加，春考）', '（应届毕业三校生，可以参加，三校生高考）']"
高考学考,春考,报名篇,问：本市户籍往届毕业三校生和非本市户籍的往届毕业三校生可以参加春考吗？答：春考报名条件和秋考基本条件一样，需满足《上海市教育委员会关于做好2024年上海市普通高校考试招生报名工作的通知》（沪教委学[2023]40号）规定。除应届毕业三校生外，符合报名条件的考生均可报考。,"['（春考，报名条件同，秋考）', '（春考，依据文件，沪教委学[2023]40号）', '（符合报名条件的考生，可报考，春考）', '（应届毕业三校生，不可报考，春考）']"
高考学考,春考,报名篇,问：考生7门高中学业水平合格考中有部分或1门没有合格，是否可以报考春考？答：可以报考，但需要特别注意的是，按照市教委相关文件要求，参加春季考试的应届高中毕业生，其思想政治、历史、地理、物理、化学、生物学、信息技术7门高中学业水平合格性考试成绩必须合格。应届高中毕业生如以上7门高中学业水平合格性考试成绩有不合格科目者，不可填报春季考试志愿。,"['（市教委，发布，文件要求）', '（7门高中学业水平合格性考试，包含科目，思想政治）', '（7门高中学业水平合格性考试，包含科目，历史）', '（7门高中学业水平合格性考试，包含科目，地理）', '（7门高中学业水平合格性考试，包含科目，物理）', '（7门高中学业水平合格性考试，包含科目，化学）', '（7门高中学业水平合格性考试，包含科目，生物学）', '（7门高中学业水平合格性考试，包含科目，信息技术）', '（应届高中毕业生，不可填报，春季考试志愿）', '（文件要求，规定，7门高中学业水平合格性考试）']"
高考学考,春考,报名篇,问：是否有春考报名条件一览表？答：详见附件高考报名相关图表。,"['（高考学考，包含，春考）', '（春考，包含，报名篇）', '（春考，具有，春考报名条件一览表）', '（春考报名条件一览表，详见，附件高考报名相关图表）']"
高考学考,春考,报名篇,问：春考报名时间？答：考生信息采集时间同高考大报名时间。,"['（春考，报名时间，考生信息采集时间）', '（考生信息采集时间，同，高考大报名时间）']"
高考学考,春考,报名篇,问：春考报名的网址是什么？答：凡符合上海市普通高校考试招生报名条件的考生须在规定时间里通过“上海招考热线”网站（www.shmeea.edu.cn）—首页—考试报名栏目进行网上报名，并根据报名网站的提示和要求如实填写本人报名信息。,"['（高考学考，关联，春考）', '（春考，关联，报名篇）', '（上海招考热线，网址，www.shmeea.edu.cn）', '（上海招考热线，下设，考试报名栏目）', '（考生，需要符合，上海市普通高校考试招生报名条件）', '（考生，进行，网上报名）', '（网上报名，通过，考试报名栏目）', '（考生，填写，报名信息）']"
高考学考,春考,报名篇,问：考生成绩优异，春考必定会被录取。现在想在高考报名期间只报考春考？答：不可以，在实际报名操作中招生必须同时报考春考和秋考才能完成报名。,"['（高考报名，包含，春考）', '（高考报名，包含，秋考）', '（考生，参加，高考报名）']"
高考学考,春考,报名篇,问：考生春考必定会被录取，为什么一定报考秋考，还要浪费报名费？答：春招录取一般安排在3月。此时考生并未缴纳秋考费用，无需顾虑。,"['（高考学考，包含，春考）', '（春考，包含，报名篇）', '（春招，安排在，3月）', '（考生，未缴纳，秋考费用）', '（秋考，需要，报名费）']"
高考学考,春考,考试篇,问：春招有哪些内容？答：春招由统一文化考试和院校自主测试两部分组成。,"['（春招，包含，统一文化考试）', '（春招，包含，院校自主测试）']"
高考学考,春考,考试篇,问：春考统一文化考试安排在什么时间？答：一般安排在1月。请考生关注关注上海招考热线或微信公众号“上海国子监发布”相关公告。注：下图为2024年春考日程。,"['（春考统一文化考试，安排在，1月）', '（上海招考热线，发布公告，春考统一文化考试）', '（微信公众号，发布公告，春考统一文化考试）', '（微信公众号，名称，上海国子监发布）', '（2024年春考日程，属于，春考）', '（春考，属于，高考学考）', '（高考学考，属于，考试篇）']"
高考学考,春考,考试篇,问：考生如何获取春考准考证？答： 报考春季考试、1月份外语考试的考生，本市学籍应届高中阶段毕业生由学校统一发放准考证；往届生、非本市学籍应届高中阶段毕业生至报名所在区招考机构领取准考证。注：以上为2024年操作办法。,"['（本市学籍应届高中阶段毕业生，属于，考生）', '（往届生，属于，考生）', '（非本市学籍应届高中阶段毕业生，属于，考生）', '（学校，发放，准考证）', '（区招考机构，发放，准考证）', '（本市学籍应届高中阶段毕业生，领取途径，学校）', '（往届生，领取途径，区招考机构）', '（非本市学籍应届高中阶段毕业生，领取途径，区招考机构）', '（春季考试，操作办法，2024年操作办法）', '（1月份外语考试，操作办法，2024年操作办法）']"
高考学考,春考,考试篇,问：考生获取春考准考证的时间？答：以或区招考机构通知为准。,"['（考生，获取，春考准考证）', '（春考准考证，获取时间，时间）', '（时间，依据，通知）', '（区招考机构，发布，通知）']"
高考学考,春考,考试篇,问：考试中有哪些考场规则和注意事项？答：考生可在“上海招考热线”网站查看考场规则，“上海招考热线”—首页—高考学考—春季高考栏目“20XX年上海市普通高校春季考试和1月份外语科目考试考前提醒”公告内附件《20XX年上海市普通高校春季考试和1月份外语科目考试笔试考场规则》《20XX 年上海市普通高校春季考试和 1 月份外语科目考试外语听说测试考场规则》《20XX年上海市普通高校春季考试和1月份外语科目考试答题及外语听力考试重要提醒》等。请所有考生务必在考前仔细阅读上述考场规则与注意事项，避免在考试期间出现违规行为。,"['（上海招考热线，是，网站）', '（高考学考，包含，春季高考）', '（春季高考，关联，1月份外语科目考试）', '（上海招考热线，提供，考场规则）', '（上海招考热线，提供，注意事项）', '（20XX年上海市普通高校春季考试和1月份外语科目考试笔试考场规则，属于，考场规则）', '（20XX年上海市普通高校春季考试和1月份外语科目考试外语听说测试考场规则，属于，考场规则）', '（20XX年上海市普通高校春季考试和1月份外语科目考试答题及外语听力考试重要提醒，属于，注意事项）', '（考生，需遵守，考场规则）', '（考生，需遵守，注意事项）', '（考生，需避免，违规行为）']"
高考学考,春考,考试篇,问：考生如果迟到了，最晚什么时候可以进入考场？答：1、语文科目考试在开考15分钟后（上午9:15）禁止考生进入考点考试；2、数学科目考试在开考15分钟后（下午1:45）禁止考生进入考点考试；3、外语笔试（含听力）科目考试在考前15分钟（上午8:45）禁止考生进入考点考试；4、外语听说测试须按准考证上的考试场次提前45分钟到考点报到，提前35分钟进入准备室。注：以上时间是2023年春考规则。,[]
高考学考,春考,考试篇,问：春考外语听力考试需要自带收音机吗？答：见秋考89问。,"['（春考，属于，高考学考）', '（考试篇，属于，春考）', '（春考外语听力考试，属于，春考）', '（春考外语听力考试，需要，自带收音机）', '（春考外语听力考试，参考，秋考89问）', '（秋考89问，属于，秋考）']"
高考学考,春考,考试篇,问：除英语外的其他外语科目（如：日语、德语、西班牙语）需要自带收音机吗？答：见秋考90问。,"['（春考，属于，高考学考）', '（考试篇，属于，春考）', '（问答对，属于，考试篇）', '（日语，属于，外语科目）', '（德语，属于，外语科目）', '（西班牙语，属于，外语科目）', '（英语，属于，外语科目）', '（问答对，参考，秋考90问）', '（问答对，涉及，外语科目）', '（问答对，涉及，收音机）']"
高考学考,春考,考试篇,问：考生身份证遗失如何进入考点？答：有效证件原件含：居民身份证（含有效期内的临时身份证）、有照片的社保卡、驾驶证、护照、军人证。电子身份证不作为考试入场有效证件使用。,"['（居民身份证，属于，有效证件）', '（有效期内的临时身份证，属于，有效证件）', '（有照片的社保卡，属于，有效证件）', '（驾驶证，属于，有效证件）', '（护照，属于，有效证件）', '（军人证，属于，有效证件）', '（电子身份证，不属于，有效证件）', '（考生，进入考点需要，有效证件）']"
高考学考,春考,考试篇,问：春考数学考试可以携带计算器吗？答：见秋考92问。,"['（高考学考，包含，春考）', '（春考，包含科目，数学考试）', '（春考，参考，秋考92问）']"
高考学考,春考,考试篇,问：考试现场没有钟表，考生可以自己带手表进入考场吗？答：见秋考93问。,"['（高考学考，包含，春考）', '（春考，属于，考试篇）', '（秋考93问，涉及，考场）', '（秋考93问，解答，手表问题）', '（考场，禁止携带，手表）']"
高考学考,春考,考试篇,问：申请合理便利的残疾考生所携带的助听器、人工耳蜗、拐杖、轮椅等可正常通过安检吗？答：见秋考94问。,"['（申请合理便利的残疾考生，携带，助听器）', '（申请合理便利的残疾考生，携带，人工耳蜗）', '（申请合理便利的残疾考生，携带，拐杖）', '（申请合理便利的残疾考生，携带，轮椅）', '（助听器，通过，安检）', '（人工耳蜗，通过，安检）', '（拐杖，通过，安检）', '（轮椅，通过，安检）', '（秋考94问，解答，安检）']"
高考学考,春考,考试篇,问：考生有低血糖或听力障碍，腿脚不便等问题，该如何申请绿色通道？答：见秋考95问。,"['（高考学考，包含，春考）', '（低血糖，可申请，绿色通道）', '（听力障碍，可申请，绿色通道）', '（腿脚不便，可申请，绿色通道）', '（绿色通道，参考，秋考95问）']"
高考学考,春考,考试篇,问：考生因听力障碍申请外语科目听力免考，笔试听力部分如何计算分数？答：见秋考96问。,"['（考生，申请，听力免考）', '（外语科目，包含，笔试听力部分）', '（笔试听力部分，分数计算参考，秋考96问）', '（高考学考，相关考试，春考）']"
高考学考,春考,考试篇,问：春考统一文化考试各科目分数是多少？答：统一文化考试科目为语文、数学、外语三门科目，成绩总分为450分。其中语文、数学、外语每科目总分150分。外语科目考试包括笔试（含听力）和听说测试，笔试（含听力）分值为140分，听说测试分值为10分，总分150分。外语科目的考试语种分设英语、俄语、日语、法语、德语、西班牙语6种，由报考学生任选1种。,"['（春考，包含，统一文化考试）', '（统一文化考试，包含科目，语文）', '（统一文化考试，包含科目，数学）', '（统一文化考试，包含科目，外语）', '（统一文化考试，总分为，450分）', '（语文，分值为，150分）', '（数学，分值为，150分）', '（外语，分值为，150分）', '（外语，包括，笔试（含听力））', '（外语，包括，听说测试）', '（笔试（含听力），分值为，140分）', '（听说测试，分值为，10分）', '（外语，考试语种分设，英语）', '（外语，考试语种分设，俄语）', '（外语，考试语种分设，日语）', '（外语，考试语种分设，法语）', '（外语，考试语种分设，德语）', '（外语，考试语种分设，西班牙语）']"
高考学考,春考,考试篇,问：春考外语科目语种是否可以选择日语，然后秋考外语语种再选择英语（春、秋考外语考试是否可以选择不同语种）？答：不可以。春考秋考外语语种必须一致。,"['（春考，外语语种必须一致，秋考）', '（外语科目，包含语种，日语）', '（外语科目，包含语种，英语）']"
高考学考,春考,考试篇,问：春考有没有政策照顾类加分？答：有加分政策。凡符合春季考试招生报名条件的烈士子女考生，经审核可在原始分上加20分；归侨、华侨子女、归侨子女和台湾省籍（含台湾户籍）考生，经审核可在原始分上加5分。上述加分分值不累加。注：以上为2024年春考政策照顾加分。,"['（春考，属于，高考学考）', '（春考，有，政策照顾类加分）', '（烈士子女考生，享受，政策照顾类加分）', '（归侨，享受，政策照顾类加分）', '（华侨子女，享受，政策照顾类加分）', '（归侨子女，享受，政策照顾类加分）', '（台湾省籍考生，享受，政策照顾类加分）', '（台湾户籍考生，享受，政策照顾类加分）', '（政策照顾类加分，加分于，原始分）', '（2024年春考政策照顾加分，属于，政策照顾类加分）']"
高考学考,春考,考试篇,问：如何申请政策照顾类加分？答：根据市教委文件规定，符合春季考试招生报名条件且符合加分政策的考生，须于2022年12月21日前持相关加分证明至报名所在的中学或区考试招生机构办理加分手续，各区考试招生机构须于2022年12月23日向市教育考试院上报符合政策加分的考生名单，同时，各中学和区考试招生机构须在本单位网站公示加分考生名单，公示时间为5个工作日。注：以上为2023年春考相关政策。,"['（市教委文件，规定，政策照顾类加分）', '（考生，需符合，春季考试招生报名条件）', '（考生，需符合，加分政策）', '（考生，提交，相关加分证明）', '（考生，办理，加分手续）', '（加分手续，办理地点，报名所在的中学）', '（加分手续，办理地点，区考试招生机构）', '（区考试招生机构，上报至，市教育考试院）', '（区考试招生机构，上报时间，2022年12月23日）', '（各中学，公示，考生名单）', '（区考试招生机构，公示，考生名单）', '（考生名单，公示时间，5个工作日）', '（政策照顾类加分，属于，2023年春考）']"
高考学考,春考,考试篇,问：春考成绩什么时候公布？答：以“上海招考热线”网站（www.shmeea.edu.cn）—首页—高考学考—春季高考栏目公告为准。注：2024年春考成绩于1月23日至2月27日期间查询。,"['（上海招考热线，网站地址，www.shmeea.edu.cn）', '（上海招考热线，包含，首页）', '（首页，包含，高考学考）', '（高考学考，包含，春季高考）', '（春季高考，提供公告，春考成绩）', '（2024年春考成绩，属于，春考成绩）', '（2024年春考成绩，查询时间，1月23日至2月27日）']"
高考学考,春考,考试篇,问：春考成绩怎样查询？答：以2024年为例，考生可登录上海市教育考试院“上海招考热线”网站（www.shmeea.edu.cn）“成绩查询”栏目或东方网（www.eastday.com）、“一网通办”PC端（zwdt.sh.gov.cn）、“随申办”移动端，输入本人高考报名号和密码（初始密码由考生身份证号码中的第4至6位和第10至12位的6位数字组成），查询本人的考试成绩。,"['（上海招考热线，所属机构，上海市教育考试院）', '（成绩查询，所属栏目，上海招考热线）', '（上海招考热线，提供查询，考试成绩）', '（东方网，提供查询，考试成绩）', '（一网通办，提供查询，考试成绩）', '（随申办，提供查询，考试成绩）', '（高考报名号，用于查询，考试成绩）', '（密码，用于查询，考试成绩）', '（初始密码，组成来源，身份证号码）', '（初始密码，类型，密码）']"
高考学考,春考,考试篇,问：对春考成绩有疑问怎么办？答：考生若对本人成绩有疑问，可在规定时间登录上海市教育考试院“上海招考热线”网站（www.shmeea.edu.cn） —首页—成绩查询栏目申请成绩复核。注：2023年春考成绩复核时间在2月11日9:00至16:00。,"['（春考，提供，成绩复核）', '（上海市教育考试院，运营，上海招考热线网站）', '（上海招考热线网站，包含，成绩查询栏目）', '（成绩复核，申请时间，2月11日9:00至16:00）', '（考生，申请，成绩复核）', '（2023年春考，成绩复核时间，2月11日9:00至16:00）']"
高考学考,春考,考试篇,问：春考成绩复核什么内容？答：成绩复核只核查答题纸姓名、准考证号是否与考生本人对应，试卷有无漏评、漏阅，小题得分是否漏统（登），各小题得分合成后是否与提供给考生的成绩一致等；不重新评阅答卷。复核结果只向考生提供所复核科目的成绩总分。考生不得查阅答卷。,"['（春考，属于，高考学考）', '（成绩复核，属于，春考）', '（成绩复核，核查内容，答题纸姓名）', '（成绩复核，核查内容，准考证号）', '（成绩复核，核查内容，漏评）', '（成绩复核，核查内容，漏阅）', '（成绩复核，核查内容，漏统（登））', '（成绩复核，核查内容，成绩一致）', '（复核结果，提供，成绩总分）', '（考生，不得，查阅答卷）', '（答题纸姓名，对应，考生）', '（准考证号，对应，考生）', '（复核结果，对应，所复核科目）', '（成绩复核，涉及，试卷）']"
高考学考,春考,考试篇,问：春考的成绩通知单会寄送至考生家里吗？答：以上海招考热线网站公告为准。注：2024年春考成绩通知单由中国邮政速递物流股份有限公司上海市分公司（EMS）按照考生高考报名表上填写的本市通讯地址投递到考生家中。寄送时间是1月24日起。,"['（春考的成绩通知单，信息来源，上海招考热线网站）', '（春考的成绩通知单，投递公司，中国邮政速递物流股份有限公司上海市分公司）', '（中国邮政速递物流股份有限公司上海市分公司，简称，EMS）', '（春考的成绩通知单，投递至，考生家里）', '（春考的成绩通知单，寄送时间，1月24日）', '（高考报名表，包含，本市通讯地址）', '（春考的成绩通知单，使用地址，本市通讯地址）']"
高考学考,春考,志愿篇,问：春招有外省市的招生院校吗？答：目前参与春招院校均为市属本科院校，招生专业均为学校的特色专业或应用型本科试点专业。,"['（春招，参与院校，市属本科院校）', '（市属本科院校，招生专业，特色专业）', '（市属本科院校，招生专业，应用型本科试点专业）']"
高考学考,春考,志愿篇,问：有哪些招生院校参加春招？答：考生可登录“上海招考热线”网站（www.shmeea.edu.cn）—首页—高考学考—春季高考栏目“转载：20XX年上海市普通高等学校春季考试招生章程”,"['（高考学考，包含，春考）', '（上海招考热线，拥有网址，www.shmeea.edu.cn）', '（上海招考热线，包含，春季高考栏目）', '（春季高考栏目，转载，20XX年上海市普通高等学校春季考试招生章程）', '（志愿篇，关联主题，高考学考）']"
高考学考,春考,志愿篇,问：春考志愿什么时候可以填报？答：考生可登录“上海招考热线”网站（www.shmeea.edu.cn）—首页—高考学考—春季高考栏目，以公告信息为准。注：2024年春考考试志愿填报于2月19日9:00-21:00、2月20日9:00-16:00进行。,"['（上海招考热线，网址，www.shmeea.edu.cn）', '（春季高考栏目，位于，上海招考热线）', '（首页，属于，上海招考热线）', '（公告信息，发布在，上海招考热线）', '（2024年春考考试，志愿填报时间，2月19日9:00-21:00', '2月20日9:00-16:00）', '（志愿填报，属于，春考）', '（春考，属于，高考学考）', '（志愿篇，属于，春考）']"
高考学考,春考,志愿篇,问：春考志愿可以填报几个？答：春季招生采取“一档两投”的方式。具有春季招生志愿填报资格的考生最多可以填报2个专业志愿。这2个专业志愿可以是同一所院校的2个专业，也可以是2所院校的各1个专业。,"['（春季招生，采用，一档两投）', '（考生，可填报，专业志愿）', '（专业志愿，属于，院校）', '（专业志愿，属于，专业）', '（春考志愿，属于，春季招生）']"
高考学考,春考,志愿篇,问：只要参与了春考就可以填报志愿吗？答：考生的统一文化考试成绩总分（含政策性加分）必须达到本市公布的春季考试招生志愿填报最低控制线，其中应届高三考生还须取得7门科目（思想政治、历史、地理、物理、化学、生物学/生命科学、信息技术/信息科技）高中学业水平合格性考试合格成绩，才能填报春考招生志愿。注：2023年春考最低控制分数线253分。,"['（统一文化考试成绩总分，包含，政策性加分）', '（应届高三考生，须取得，高中学业水平合格性考试合格成绩）', '（高中学业水平合格性考试合格成绩，包含科目，思想政治）', '（高中学业水平合格性考试合格成绩，包含科目，历史）', '（高中学业水平合格性考试合格成绩，包含科目，地理）', '（高中学业水平合格性考试合格成绩，包含科目，物理）', '（高中学业水平合格性考试合格成绩，包含科目，化学）', '（高中学业水平合格性考试合格成绩，包含科目，生物学/生命科学）', '（高中学业水平合格性考试合格成绩，包含科目，信息技术/信息科技）', '（春考招生志愿，需达到，春季考试招生志愿填报最低控制线）', '（春季考试招生志愿填报最低控制线，2023年分数线，2023年春考最低控制分数线253分）']"
高考学考,春考,志愿篇,问：对于当年的招生专业不满意，已参加当年春考并具备志愿填报资格的考生可以选择不填报春考志愿吗？是否会影响参加秋季高考等其他类别考试？答：可以选择不填报春考志愿。考生若不填报春考志愿，后续仍可参加本人已报考的当年普通高校招生其他各类别考试（专科层次依法自主招生、秋季高考等）。 ,"['（考生，具备，志愿填报资格）', '（考生，参加，春考）', '（考生，选择不填报，春考志愿）', '（春考志愿，不影响，秋季高考）', '（春考志愿，不影响，专科层次依法自主招生）']"
